sex,math,income,cappun,height,idealheight,diff,kkardashtemp
male,no,21400,oppose,77.2,80,2.799999999999997,87
female,no,62400,favor,57.5,59,1.5,5
male,no,23000,favor,74.6,77,2.4000000000000057,98
male,no,1200,favor,67.3,70,2.700000000000003,95
male,no,32700,favor,68.8,72,3.200000000000003,99
female,no,26400,oppose,65.1,67,1.9000000000000057,3
male,no,9100,favor,66,69,3,75
female,no,34300,oppose,66.6,68,1.4000000000000057,30
male,no,39900,favor,63.5,66,2.5,92
male,no,53600,oppose,66.4,69,2.5999999999999943,92
female,no,20500,favor,63.1,65,1.8999999999999986,2
male,no,8800,oppose,70.7,74,3.299999999999997,59
female,no,27300,favor,63.1,65,1.8999999999999986,3
male,no,45400,oppose,66.4,69,2.5999999999999943,89
male,no,15400,oppose,71.1,73,1.9000000000000057,90
male,no,84400,favor,69.3,72,2.700000000000003,95
male,no,75500,oppose,68.6,71,2.4000000000000057,83
male,no,53300,oppose,65.6,68,2.4000000000000057,97
male,no,10100,oppose,69,71,2,91
male,no,8200,oppose,71.2,74,2.799999999999997,84
female,no,32000,favor,66.6,68,1.4000000000000057,12
male,no,33600,oppose,69,72,3,88
female,no,56700,oppose,65.3,67,1.7000000000000028,17
female,no,33000,oppose,62.2,64,1.7999999999999972,6
female,no,42900,oppose,63.9,66,2.1000000000000014,3
male,no,55500,oppose,67.4,70,2.5999999999999943,95
male,no,70000,favor,68.9,71,2.0999999999999943,82
male,no,44900,favor,71.6,74,2.4000000000000057,89
male,no,41400,oppose,71.1,73,1.9000000000000057,79
female,no,28100,favor,65.1,66,0.9000000000000057,21
female,no,39600,oppose,69,71,2,24
male,no,130300,oppose,73.9,77,3.0999999999999943,99
male,no,16200,favor,68.9,71,2.0999999999999943,88
female,no,35100,oppose,63.9,65,1.1000000000000014,6
female,no,14900,oppose,66.3,68,1.7000000000000028,1
female,no,14200,favor,63.6,65,1.3999999999999986,6
female,yes,93000,favor,68.1,70,1.9000000000000057,28
male,no,32200,oppose,73.4,76,2.5999999999999943,82
female,no,12800,oppose,65.7,67,1.2999999999999972,2
male,no,33400,oppose,72.3,75,2.700000000000003,95
female,no,12400,oppose,63.9,66,2.1000000000000014,3
female,no,52800,favor,64.2,66,1.7999999999999972,1
female,no,36400,oppose,66.1,68,1.9000000000000057,9
female,no,20600,oppose,68.2,69,0.7999999999999972,4
female,no,64800,oppose,70.3,71,0.7000000000000028,22
female,no,42200,oppose,66.2,68,1.7999999999999972,1
female,no,18100,oppose,67.1,69,1.9000000000000057,3
male,no,22200,favor,71.7,75,3.299999999999997,94
female,no,65200,oppose,70.2,71,0.7999999999999972,20
female,no,26300,oppose,63.2,65,1.7999999999999972,3
female,no,7000,oppose,64.7,66,1.2999999999999972,2
female,no,24300,oppose,66.1,68,1.9000000000000057,1
female,no,75400,oppose,66.6,67,0.4000000000000057,23
male,no,20200,oppose,71.3,73,1.7000000000000028,95
male,no,17700,oppose,69,72,3,96
female,no,5600,oppose,67.9,69,1.0999999999999943,2
male,no,66100,oppose,70.2,73,2.799999999999997,94
male,no,6600,oppose,69.5,73,3.5,97
male,no,39600,oppose,64.7,67,2.299999999999997,96
female,no,60500,oppose,65.8,67,1.2000000000000028,20
female,no,53700,oppose,65.6,67,1.4000000000000057,9
female,no,11100,oppose,71.5,73,1.5,12
male,yes,44200,oppose,73.9,77,3.0999999999999943,87
female,no,20800,oppose,66.4,68,1.5999999999999943,5
male,no,11000,favor,70.8,73,2.200000000000003,74
female,no,13400,favor,63.6,64,0.3999999999999986,2
female,no,1500,favor,65.4,67,1.5999999999999943,2
male,no,48700,favor,77,79,2,90
male,no,38200,favor,68.8,71,2.200000000000003,87
female,no,10200,favor,65.5,67,1.5,6
male,no,18000,oppose,70.4,73,2.5999999999999943,95
male,no,52700,oppose,65.4,68,2.5999999999999943,81
male,no,57900,oppose,69.8,71,1.2000000000000028,96
female,no,58500,oppose,66.6,68,1.4000000000000057,0
male,no,22700,favor,76.1,79,2.9000000000000057,82
male,no,30200,oppose,76.9,80,3.0999999999999943,99
male,no,40800,oppose,69.8,72,2.200000000000003,91
female,no,18400,oppose,64.2,66,1.7999999999999972,12
female,no,67000,favor,66.9,69,2.0999999999999943,9
male,no,10900,favor,70.1,72,1.9000000000000057,100
female,no,165700,oppose,64.6,66,1.4000000000000057,2
female,no,28100,favor,67.3,69,1.7000000000000028,13
male,no,71500,oppose,67.6,70,2.4000000000000057,98
male,no,5100,oppose,73.7,77,3.299999999999997,97
female,no,31600,oppose,65.6,67,1.4000000000000057,4
female,no,9300,oppose,65.2,67,1.7999999999999972,6
male,yes,49800,oppose,73.6,76,2.4000000000000057,47
male,no,44800,oppose,72.4,75,2.5999999999999943,97
male,no,57900,favor,67.6,70,2.4000000000000057,74
female,no,25400,favor,65.7,67,1.2999999999999972,3
female,no,8700,favor,63.8,66,2.200000000000003,15
female,no,44000,oppose,66.8,69,2.200000000000003,30
male,no,28300,oppose,73,76,3,63
female,yes,15200,oppose,64.3,66,1.7000000000000028,12
male,no,26700,oppose,66,68,2,99
female,no,12900,oppose,60.5,62,1.5,7
female,no,115600,oppose,60.8,62,1.2000000000000028,16
male,no,25100,oppose,75.3,78,2.700000000000003,86
female,no,16600,oppose,69.7,71,1.2999999999999972,8
female,no,37100,oppose,69.7,71,1.2999999999999972,2
male,no,27700,oppose,68.7,71,2.299999999999997,88
female,no,23500,favor,60.6,62,1.3999999999999986,6
female,yes,23900,oppose,66.8,69,2.200000000000003,2
female,no,33700,favor,66,67,1,4
male,no,60600,oppose,69.1,72,2.9000000000000057,74
male,no,46400,oppose,66.7,69,2.299999999999997,89
female,no,29700,favor,69.9,71,1.0999999999999943,2
female,no,33600,favor,67.7,70,2.299999999999997,47
female,no,35600,oppose,62.7,64,1.2999999999999972,22
male,no,46700,oppose,70.9,73,2.0999999999999943,92
male,no,15000,oppose,70.9,73,2.0999999999999943,99
male,no,44500,oppose,66.4,68,1.5999999999999943,95
female,no,33600,oppose,58.7,61,2.299999999999997,3
female,no,76900,oppose,66.3,68,1.7000000000000028,6
male,no,45200,oppose,68.8,71,2.200000000000003,80
male,no,18700,favor,72,75,3,100
female,no,7800,oppose,64.6,66,1.4000000000000057,4
female,no,76000,oppose,63,64,1,1
male,no,32500,favor,66.7,69,2.299999999999997,93
male,no,7400,oppose,67,69,2,94
male,no,91400,oppose,67.8,70,2.200000000000003,95
female,no,52800,favor,60.9,62,1.1000000000000014,12
female,no,97600,oppose,61.7,63,1.2999999999999972,2
male,no,13700,favor,65.7,68,2.299999999999997,99
female,no,52700,oppose,69.3,71,1.7000000000000028,18
female,no,88000,oppose,67.5,69,1.5,0
female,no,80400,oppose,69.6,71,1.4000000000000057,16
male,no,44500,oppose,68.4,70,1.5999999999999943,93
female,no,14500,oppose,66.8,69,2.200000000000003,14
female,no,18100,oppose,59.9,61,1.1000000000000014,12
male,no,12000,oppose,70.1,72,1.9000000000000057,68
male,no,32800,favor,70.7,72,1.2999999999999972,86
female,no,72100,favor,70.1,72,1.9000000000000057,4
female,no,36000,oppose,65.1,67,1.9000000000000057,4
female,no,32000,oppose,61.5,63,1.5,2
male,no,6800,oppose,70.7,73,2.299999999999997,87
male,no,114000,oppose,76.4,79,2.5999999999999943,82
male,no,12500,oppose,66,69,3,94
female,no,10800,oppose,63.9,65,1.1000000000000014,6
female,no,37500,oppose,63.6,65,1.3999999999999986,12
male,no,22700,oppose,69.5,72,2.5,95
male,no,93700,favor,70.4,73,2.5999999999999943,91
female,no,9700,oppose,66.4,67,0.5999999999999943,12
male,no,86000,favor,67.6,70,2.4000000000000057,88
female,no,12800,favor,69.3,71,1.7000000000000028,4
female,yes,152100,oppose,63.3,65,1.7000000000000028,4
female,no,51600,favor,68.3,70,1.7000000000000028,14
male,no,25300,oppose,70.1,73,2.9000000000000057,68
male,no,9700,oppose,73.2,76,2.799999999999997,92
male,no,82900,oppose,74.9,77,2.0999999999999943,100
female,no,11600,oppose,61.8,63,1.2000000000000028,1
male,no,28000,oppose,71.9,74,2.0999999999999943,92
female,no,33700,oppose,67.5,69,1.5,19
female,no,41900,favor,65,66,1,6
male,no,61800,oppose,67.7,70,2.299999999999997,93
male,no,32300,oppose,70.6,73,2.4000000000000057,95
male,no,24800,favor,69.4,71,1.5999999999999943,98
male,no,48500,favor,74.9,78,3.0999999999999943,99
female,no,24400,oppose,68.2,70,1.7999999999999972,16
male,no,76300,favor,74.3,77,2.700000000000003,87
female,no,15400,favor,64.5,66,1.5,25
female,yes,44900,favor,71.5,73,1.5,8
male,no,5700,oppose,65.7,68,2.299999999999997,89
male,no,12900,oppose,68.7,72,3.299999999999997,94
male,no,20200,favor,69.9,73,3.0999999999999943,93
male,no,86500,oppose,72.8,75,2.200000000000003,97
male,no,17200,oppose,73.8,77,3.200000000000003,87
female,no,55900,oppose,64.8,66,1.2000000000000028,6
male,no,55000,oppose,68.3,71,2.700000000000003,91
female,no,42700,oppose,60.4,62,1.6000000000000014,12
female,no,108800,oppose,71.6,73,1.4000000000000057,5
female,no,13900,oppose,64,66,2,1
female,yes,61300,oppose,63.7,65,1.2999999999999972,14
male,no,31300,oppose,66.3,69,2.700000000000003,89
female,no,3400,oppose,69.6,71,1.4000000000000057,0
female,yes,62100,favor,63.6,66,2.3999999999999986,4
male,no,60300,favor,66.3,68,1.7000000000000028,89
female,no,16300,oppose,62.5,64,1.5,16
male,no,30800,oppose,67.9,71,3.0999999999999943,97
female,no,42500,oppose,57.3,59,1.7000000000000028,18
male,no,103200,oppose,67.4,69,1.5999999999999943,95
female,no,80000,oppose,62.3,64,1.7000000000000028,9
male,no,26100,oppose,74.5,77,2.5,89
male,no,40300,oppose,67.2,69,1.7999999999999972,100
female,yes,8500,oppose,63.1,65,1.8999999999999986,1
male,no,36600,oppose,68.3,71,2.700000000000003,87
male,no,54600,favor,70.1,72,1.9000000000000057,67
female,no,63400,oppose,65.2,67,1.7999999999999972,14
female,no,12400,oppose,72.5,74,1.5,18
male,no,9300,oppose,70.7,73,2.299999999999997,96
male,no,10200,oppose,64.9,67,2.0999999999999943,95
male,no,10500,oppose,71,73,2,98
male,no,11100,oppose,68.6,71,2.4000000000000057,90
male,no,12700,oppose,70.8,73,2.200000000000003,97
male,no,45100,oppose,69,71,2,98
male,yes,75800,favor,71.9,75,3.0999999999999943,89
female,no,61400,favor,68.9,70,1.0999999999999943,6
female,no,97200,favor,66.9,69,2.0999999999999943,24
male,no,7000,oppose,72,75,3,88
female,no,44500,favor,67.8,69,1.2000000000000028,8
male,no,63200,oppose,70.8,74,3.200000000000003,95
female,no,18300,oppose,58.3,60,1.7000000000000028,4
female,no,45500,oppose,65.3,67,1.7000000000000028,1
female,no,56100,oppose,62.4,64,1.6000000000000014,14
female,no,74500,favor,63.2,64,0.7999999999999972,5
female,no,19800,oppose,66.4,68,1.5999999999999943,8
male,no,33900,oppose,72.1,74,1.9000000000000057,81
female,no,69300,oppose,67.7,70,2.299999999999997,7
male,no,132700,oppose,69.4,72,2.5999999999999943,89
male,no,54200,oppose,69.7,72,2.299999999999997,94
male,no,88300,favor,71,73,2,86
female,no,57900,oppose,60.3,62,1.7000000000000028,14
male,no,12700,oppose,71.6,74,2.4000000000000057,78
male,no,107800,oppose,66,68,2,93
male,no,24100,oppose,72.4,74,1.5999999999999943,95
female,no,14700,favor,64.2,66,1.7999999999999972,15
female,no,112300,oppose,67.2,69,1.7999999999999972,2
female,no,17400,oppose,67.1,68,0.9000000000000057,0
female,yes,18200,oppose,58.7,60,1.2999999999999972,4
male,no,58800,oppose,74.3,77,2.700000000000003,87
male,no,79700,oppose,68.1,71,2.9000000000000057,98
female,no,20800,oppose,65.9,68,2.0999999999999943,4
female,no,18400,favor,67.1,69,1.9000000000000057,0
male,no,41100,oppose,70.5,73,2.5,62
female,no,18000,oppose,63.5,65,1.5,1
female,no,45100,oppose,62.9,64,1.1000000000000014,1
male,no,24600,oppose,66.5,69,2.5,91
female,no,53100,oppose,62.3,64,1.7000000000000028,12
female,no,8900,favor,66.4,68,1.5999999999999943,10
male,no,25800,oppose,68.7,71,2.299999999999997,85
male,no,50400,oppose,68.4,70,1.5999999999999943,94
male,no,98100,oppose,71.3,75,3.700000000000003,78
female,no,18600,oppose,64.3,66,1.7000000000000028,13
male,no,56600,oppose,72.6,75,2.4000000000000057,93
male,no,21800,oppose,65.2,68,2.799999999999997,93
male,no,142800,oppose,71.6,74,2.4000000000000057,99
male,no,45400,oppose,76.4,79,2.5999999999999943,94
female,no,20900,oppose,62.3,64,1.7000000000000028,11
female,no,18000,oppose,65.8,68,2.200000000000003,5
female,no,41100,oppose,67.3,69,1.7000000000000028,36
female,no,32400,favor,69.8,71,1.2000000000000028,14
female,no,71700,oppose,64.4,66,1.5999999999999943,6
male,yes,86100,favor,73.1,76,2.9000000000000057,98
female,no,9300,oppose,67,68,1,16
male,no,20200,oppose,68.6,72,3.4000000000000057,97
male,no,234100,oppose,71.8,74,2.200000000000003,98
female,no,8200,oppose,60.9,63,2.1000000000000014,8
female,yes,125800,oppose,68.1,70,1.9000000000000057,34
male,no,30900,favor,76.3,79,2.700000000000003,98
male,no,36800,oppose,73,75,2,80
male,no,60900,oppose,75.9,78,2.0999999999999943,99
male,no,78200,favor,72.3,75,2.700000000000003,91
female,no,24600,oppose,65,67,2,12
female,no,49300,oppose,60.7,62,1.2999999999999972,11
female,no,32100,oppose,70.2,72,1.7999999999999972,0
male,no,65600,oppose,68.7,71,2.299999999999997,89
male,no,22200,oppose,73.2,75,1.7999999999999972,64
female,no,11500,favor,61.6,63,1.3999999999999986,3
female,no,31600,oppose,63.4,64,0.6000000000000014,15
male,no,27400,oppose,71,74,3,86
male,no,18000,oppose,70.5,73,2.5,84
male,no,21500,oppose,72.2,74,1.7999999999999972,95
male,no,50900,oppose,73,76,3,99
female,no,31000,oppose,68.2,70,1.7999999999999972,6
male,no,47900,favor,73.9,76,2.0999999999999943,88
male,no,66600,oppose,73.1,76,2.9000000000000057,80
female,no,61700,oppose,64.9,66,1.0999999999999943,2
female,no,28800,oppose,70.4,72,1.5999999999999943,2
female,no,32100,favor,61.1,63,1.8999999999999986,16
female,no,79600,oppose,66.6,68,1.4000000000000057,0
male,no,10900,oppose,69,72,3,80
female,no,18700,oppose,61.3,63,1.7000000000000028,19
female,no,37100,oppose,68.2,70,1.7999999999999972,37
female,no,91600,favor,65.8,67,1.2000000000000028,11
male,no,26000,favor,70.3,73,2.700000000000003,93
male,no,34300,favor,74.3,77,2.700000000000003,97
female,no,17700,oppose,66.6,68,1.4000000000000057,5
male,yes,19100,favor,72.3,75,2.700000000000003,74
male,no,60200,oppose,67.8,70,2.200000000000003,95
male,no,8800,oppose,71.4,74,2.5999999999999943,94
female,no,89300,oppose,64.4,66,1.5999999999999943,2
male,no,7500,oppose,67.5,70,2.5,97
female,no,7500,oppose,65.7,67,1.2999999999999972,1
female,no,86400,oppose,60.9,62,1.1000000000000014,21
male,no,45600,oppose,69.3,72,2.700000000000003,99
male,no,42300,oppose,72.1,74,1.9000000000000057,88
female,no,87900,oppose,66.7,68,1.2999999999999972,2
male,no,114200,oppose,69.1,71,1.9000000000000057,98
male,no,11700,favor,66.4,69,2.5999999999999943,97
female,no,61400,oppose,61.5,63,1.5,6
male,no,164000,favor,73.8,76,2.200000000000003,97
male,no,51000,favor,70.5,73,2.5,99
female,no,87500,oppose,66.3,68,1.7000000000000028,2
male,no,105000,oppose,65.3,68,2.700000000000003,86
female,no,13300,oppose,67.5,69,1.5,3
female,no,81900,oppose,66.1,67,0.9000000000000057,9
male,no,43600,favor,66.8,69,2.200000000000003,100
male,no,12900,oppose,68,71,3,91
female,no,37800,favor,61.9,63,1.1000000000000014,2
female,no,35500,oppose,63.8,65,1.2000000000000028,21
male,no,39900,favor,69.5,72,2.5,93
male,no,106900,oppose,67.8,71,3.200000000000003,96
male,no,58900,oppose,71.8,74,2.200000000000003,92
female,no,24800,oppose,65,67,2,1
male,no,37700,favor,70.9,73,2.0999999999999943,69
female,no,36300,oppose,63.1,65,1.8999999999999986,0
male,no,11400,favor,72.9,76,3.0999999999999943,100
male,no,32200,oppose,67.3,70,2.700000000000003,99
male,no,59400,oppose,68.5,71,2.5,99
male,no,37400,oppose,68.3,70,1.7000000000000028,96
female,no,32000,oppose,69.4,71,1.5999999999999943,19
male,yes,85900,favor,70.5,73,2.5,95
male,yes,123800,oppose,72.7,75,2.299999999999997,98
female,no,74000,favor,68.4,70,1.5999999999999943,4
male,no,23000,favor,68.4,70,1.5999999999999943,99
female,no,25400,favor,64.1,66,1.9000000000000057,10
female,no,41400,oppose,64.7,66,1.2999999999999972,13
female,no,58100,oppose,58.8,61,2.200000000000003,12
male,no,72500,favor,67.3,70,2.700000000000003,96
female,no,54500,favor,64.4,66,1.5999999999999943,10
female,no,20200,favor,65.2,67,1.7999999999999972,8
male,no,63100,oppose,69.8,72,2.200000000000003,90
female,no,57600,favor,65.7,67,1.2999999999999972,10
female,no,40000,oppose,68.4,70,1.5999999999999943,6
female,yes,49800,oppose,65.4,67,1.5999999999999943,1
female,no,147400,favor,63.3,65,1.7000000000000028,0
female,no,32700,oppose,63.2,64,0.7999999999999972,9
female,yes,62400,favor,63.7,65,1.2999999999999972,7
male,no,80500,oppose,75.1,77,1.9000000000000057,96
female,no,33400,oppose,66.6,68,1.4000000000000057,14
male,no,58300,oppose,70,73,3,99
female,no,86100,oppose,65.7,68,2.299999999999997,40
male,no,61900,oppose,68.6,70,1.4000000000000057,98
male,no,32000,oppose,72.3,75,2.700000000000003,92
female,no,14700,oppose,63.1,65,1.8999999999999986,4
male,no,103500,favor,72.3,75,2.700000000000003,95
male,no,32900,oppose,65.3,68,2.700000000000003,94
male,no,38700,favor,73.4,76,2.5999999999999943,72
male,no,55300,favor,65.3,68,2.700000000000003,91
male,no,20600,favor,70.9,74,3.0999999999999943,90
male,no,35300,oppose,69.1,72,2.9000000000000057,91
female,no,73000,oppose,63.8,65,1.2000000000000028,13
male,no,71800,oppose,70.9,74,3.0999999999999943,74
male,no,107200,oppose,67.6,70,2.4000000000000057,64
female,no,26700,favor,62.8,64,1.2000000000000028,3
female,no,10600,oppose,63.8,65,1.2000000000000028,3
female,no,34300,oppose,64.5,66,1.5,32
male,no,16600,oppose,67.8,70,2.200000000000003,83
male,no,72600,favor,73.2,76,2.799999999999997,71
female,no,24300,oppose,57.8,59,1.2000000000000028,6
female,no,31000,oppose,65.8,68,2.200000000000003,3
female,no,33100,oppose,66.5,67,0.5,0
male,no,62300,favor,74.7,77,2.299999999999997,86
male,no,104300,favor,70.1,73,2.9000000000000057,100
female,no,79600,favor,64.4,66,1.5999999999999943,1
female,no,53300,oppose,61.6,63,1.3999999999999986,0
male,no,25600,favor,67.7,70,2.299999999999997,93
male,no,14600,favor,71.2,74,2.799999999999997,79
male,no,17100,oppose,67,70,3,98
male,no,49900,favor,70,72,2,90
male,no,12200,oppose,65.3,68,2.700000000000003,71
female,no,9000,oppose,65.7,68,2.299999999999997,1
male,no,37000,favor,72.3,75,2.700000000000003,98
male,no,39200,favor,69.1,72,2.9000000000000057,70
male,no,34300,favor,66.3,69,2.700000000000003,98
female,no,31100,oppose,60.5,62,1.5,4
male,no,2300,favor,73.4,76,2.5999999999999943,81
male,no,15300,favor,68.9,72,3.0999999999999943,99
female,no,96000,oppose,67.7,69,1.2999999999999972,15
male,no,18900,oppose,68.5,71,2.5,96
female,no,25400,oppose,67.1,69,1.9000000000000057,31
female,no,99800,favor,64.2,66,1.7999999999999972,4
female,no,41100,oppose,61.3,63,1.7000000000000028,0
male,no,16700,favor,67.2,70,2.799999999999997,95
female,no,73700,oppose,64.2,66,1.7999999999999972,0
female,no,30500,oppose,67.5,69,1.5,5
male,no,38400,favor,75.5,78,2.5,90
female,no,16200,oppose,61.7,63,1.2999999999999972,0
female,no,32000,oppose,63.6,65,1.3999999999999986,10
male,yes,55500,favor,70,72,2,100
female,no,8100,favor,66.1,67,0.9000000000000057,10
male,no,57100,oppose,70.9,73,2.0999999999999943,93
male,no,73200,oppose,70.1,73,2.9000000000000057,100
male,yes,32200,oppose,73.5,76,2.5,95
female,no,12900,oppose,60.8,62,1.2000000000000028,1
male,no,81700,favor,70.7,74,3.299999999999997,99
female,no,41300,oppose,62.9,64,1.1000000000000014,2
male,no,19900,oppose,69.2,72,2.799999999999997,94
male,no,22500,favor,72.3,75,2.700000000000003,99
male,no,20500,oppose,68.2,71,2.799999999999997,78
female,no,38600,oppose,65.4,67,1.5999999999999943,6
female,no,4400,oppose,65.3,67,1.7000000000000028,0
male,yes,34700,favor,69.8,72,2.200000000000003,95
male,no,16900,oppose,69.3,72,2.700000000000003,96
male,no,23100,favor,72,75,3,95
female,no,54800,oppose,63.3,65,1.7000000000000028,6
female,no,83100,oppose,62.7,64,1.2999999999999972,11
female,no,26100,oppose,63.2,64,0.7999999999999972,22
female,no,10900,oppose,62.7,65,2.299999999999997,7
male,no,14500,favor,73.2,76,2.799999999999997,92
female,no,7400,oppose,57.7,59,1.2999999999999972,22
female,no,28700,oppose,71.8,74,2.200000000000003,1
female,no,26600,oppose,60.8,62,1.2000000000000028,15
female,no,36100,oppose,67.7,69,1.2999999999999972,4
female,no,39400,oppose,62.1,64,1.8999999999999986,15
male,no,26300,oppose,71.1,73,1.9000000000000057,87
female,no,37900,oppose,64.2,66,1.7999999999999972,4
male,no,29000,oppose,75.4,78,2.5999999999999943,83
male,yes,22500,oppose,70.5,73,2.5,82
male,no,84300,favor,75.3,78,2.700000000000003,95
female,no,37800,oppose,65.9,67,1.0999999999999943,18
male,no,8800,oppose,73.3,76,2.700000000000003,86
male,no,43300,favor,72.9,76,3.0999999999999943,87
male,no,40500,favor,70.1,72,1.9000000000000057,89
male,no,13000,oppose,73.6,76,2.4000000000000057,99
female,no,43600,oppose,65.6,67,1.4000000000000057,16
male,no,65800,favor,71.6,74,2.4000000000000057,94
male,no,27000,favor,71.1,74,2.9000000000000057,99
male,no,6400,favor,66.9,69,2.0999999999999943,99
male,yes,65500,oppose,69.8,72,2.200000000000003,66
female,no,28100,oppose,59.5,61,1.5,11
male,no,6000,oppose,69.1,71,1.9000000000000057,96
male,no,26100,oppose,75.1,78,2.9000000000000057,95
male,no,3500,favor,70.9,73,2.0999999999999943,91
male,no,117100,oppose,69.2,72,2.799999999999997,97
male,no,15000,oppose,74.2,77,2.799999999999997,81
female,no,32400,oppose,60.6,62,1.3999999999999986,8
female,no,18000,oppose,63.1,64,0.8999999999999986,5
male,no,21300,oppose,65.3,68,2.700000000000003,86
female,no,52300,oppose,66.4,67,0.5999999999999943,1
female,no,53100,favor,65.8,68,2.200000000000003,6
female,no,42400,oppose,67.1,69,1.9000000000000057,1
male,no,106700,oppose,71.9,74,2.0999999999999943,97
female,no,58700,favor,67.6,70,2.4000000000000057,12
female,yes,106800,oppose,66.3,68,1.7000000000000028,3
female,no,19600,favor,64.4,65,0.5999999999999943,18
male,no,15500,oppose,67.5,70,2.5,98
female,no,11800,oppose,63.9,66,2.1000000000000014,22
female,no,28400,oppose,66.8,69,2.200000000000003,15
female,no,61700,oppose,60.6,62,1.3999999999999986,18
female,no,30500,oppose,67.9,69,1.0999999999999943,2
female,yes,22000,favor,61.5,63,1.5,14
male,no,9000,favor,70.6,73,2.4000000000000057,84
female,no,71400,oppose,66.2,67,0.7999999999999972,12
male,no,42600,favor,72,75,3,65
female,yes,67000,favor,63.8,65,1.2000000000000028,24
female,no,43600,oppose,61.6,63,1.3999999999999986,6
male,no,40000,favor,69.9,73,3.0999999999999943,97
female,no,18700,favor,67.4,69,1.5999999999999943,4
female,no,66000,oppose,61.9,64,2.1000000000000014,5
female,no,21700,oppose,59.1,61,1.8999999999999986,2
female,no,89000,oppose,65,66,1,8
male,no,154600,oppose,68.3,71,2.700000000000003,95
